reviewerID,reviewerName_x,date(YYYYMMDD)_x,reviewCount,Avgrating,avg_wordcount,sum_helpful_votes,sum_unhelpful_votes,overall_helpfulness_x,reviewerName_y,unixReviewTime,overall,asin,reviewTime,reviewText,helpful,summary,Year,Month,Day,helpfulness_ratio,review_length,Wordcount,Reviewcategory,helpful_votes,total_votes,unhelpful_votes,overall_helpfulness_y,date(YYYYMMDD)_y
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1298419200,4.0,B00002NDRF,"02 23, 2011","This is officially compatible with DYMO's:- LabelManager 350, 450, PCII- LabelPoint 350- LabelWriter DUOBut it works just fine with the DYMO LabelManager 360D which is not on the list.On this cassette, the tape needed a little bit of 'priming' - had to manually pull about one inch out before anything could come out but all was flawless after that. The output is the expected ultra-crisp black on white and, according to the maker, the nylon base should make the labels stick perfectly to curved surfaces. In 'real life' the labels stickiness do meet my standards but I'll have to live with at least some air bubbles when applying them on curved objects.Overall... nice labels.Made in Belgium.","[3, 3]","Crisp, sticky labels",2011,02, 23,1.0,694,116,Positive,3,3,0,0.022504478098029638,20110223
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1242691200,5.0,B00005114Z,"05 19, 2009","Be aware that the A/B does not mean the more familiar Type A/Mini-B connectors. This cable's 'B' end is the full size, square 'Type B' a few USB-connected peripherals may require.I thought I would use one of these with my new 'white' Asus to connect it with an external drive but, in the end, I returned the Asus and now I'm stuck with the cable :)To conclude: it's good as a color-coordinated cable to work with or between 2 white devices of which one accepts a full-size Type B connector and for which a white USB cable wasn't supplied in the first place.The price is right if combined with Amazon's free shipping on $25+ bundles.","[0, 0]",Good as a color-coordinated cable,2009,05, 19,,632,115,Positive,0,0,0,0.022406774141019378,20090519
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1320364800,2.0,B00006343P,"11 4, 2011","There is a reason why this item is so heavily discounted and it is so because this is not a well-thought, well-designed product.Like most power strips these days, Monster's product offers some decent surge protection on both plugged in devices and on coax (you'll have that if you get cable or satellite TV). To differentiate it from the competition, the Monster designer have colored theirs a shade of purple and have labeled the 9 outlets with multi-colored, not very useful but harmless plastic tags such as VCR (really?), CD, Receiver, CATV and so forth. There is also a master on-off button that shines a blue light when on.So far, so good but then there is an inexcusable design flaw. This works well for as long as you are using 2- or 3-prong plugs. Whether they are for the VCR, the CD or your CATV, they fit well on this unit's side. The trouble comes when you try to plug in just about any AD/DC adapter because this unit's design does not allow it or makes it extremely difficult and inconvenient. This is bad. In addition, the provided patch coax cable is short enough to make it useless - of course you can get something of a more useful length at the store but why bother to include one if it's only 3-4 ft. long?To summarize: you get surge protection for up to 9 devices if they are all using 2- or 3-prong plugs and coax if a 3-ft. long patch cable is long enough. The labels are largely useless because they are somewhat obsolete (VCR, CD) but they don't hurt. The blue light emitted by the on button can serve as a night light.I am okay with my purchase because I acquired mine as an Amazon's lightning deal deep discount but you can probably get 'better' from a more established power surge equipment vendor even at the currently advertised price.","[0, 0]",Some like it purple,2011,11, 4,,1766,320,Negative,0,0,0,0.022406774141019378,20111104
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1250640000,5.0,B000067RVL,"08 19, 2009","This is the most common USB cable these days for connecting 'something' to your computer but... beware of the 'Micro-B vs. Mini-B' interface confusion (read below).On this specific cable, everything is done right, including the price. It is USB 2.0 certified, meaning that it supports data transfer rates of up to 480Mbps and, if your device accepts a Mini-B plug, this is the cable to get. Maybe the 2-meter length (6+ ft.) is a little bit too much but it does not bother me a lot and there may come a time when a cable this long may come in handy.I am awarding this item 5 stars for price and quality - there's nothing to complain. However, I suggest that you look around before you place the order because you just might have one of these already as they tend to ship with many electronic gadgets these days.______________________________________________Notes:Anyone in the market for a USB cable should be very careful because there are at least 6 kinds of USB connectors. If you are buying a cable that connects 'something' to your computer or laptop, the computer end of the cable will always be a USB-A or 'Type A' connector. At the other end, you may have a USB-B/Type B - a nearly square shaped connector used mostly to deliver power to a device but this is rare. Most likely, you will have a Mini-B or a Micro-B. The difference between the 2 is that the Micro-B is half as thick while the width is the same - Mini-B is 3x7mm while Micro-B is 1.5x7mm.If your device (phone, PDA, camera) is a 'new' one and it's using USB, chances are that they will need a Micro-B connector because the industry seems to be adopting the 'Micro' form factor as its standard. If the above sounds simple, you should keep in mind that some devices require Mini-AB or Micro-AB connectors, also known as USB OTG (OnTheGo) devices.My advice: before ordering any cable, make sure that you clearly understand what type of cable you need.Whenever in doubt, do some more research and keep in mind that the 'Micro-B' (very small) is the emerging standard and it's likely to be found on the newer and smaller gadgets - phones, cameras, etc. but, before it we had the 'Mini-B' (this specific cable) so the older devices will need the 'Mini'.","[184, 187]",It's a good cable but make sure that THIS is what you need,2009,08, 19,0.983957219251337,2219,394,Positive,184,187,3,0.028301579547305,20090819
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1298246400,5.0,B000067SGI,"02 21, 2011","Please be VERY careful and look at the picture before ordering this cable. This is NOT what we normally view as the 'generic' USB cable. For that, look for a ""USB-A to MINI-B male"" cable.The full USB-B connector (this one) is needed for some USB-connected disk drives, printers or speakers. A cable such as this may be needed because some vendors choose to save a few pennies and do not to provide a cable with the device they sell or one may need a cord longer than the standard 6 ft. or 2 meter usually supplied by the manufacturer - I needed one to connect a USB-connected speaker unit to my laptop's docking station.This is a good A/B USB cable and there's nothing to complain. Amazon's free shipping makes the price just right.","[0, 0]",Just right but make sure it's what you need,2011,02, 21,,732,133,Positive,0,0,0,0.022406774141019378,20110221
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1244160000,4.0,B00006B8K2,"06 5, 2009","I ordered that Fellowes 99090 to protect a new computer and the several peripherals that attach to it. Its most attractive features are the price, the compact form and the innovative design allowing for as many as eight plugs to attach to it. So far, I am happy with my purchase.Here are the specs and features:- 3 line protection- right-angle plug- 15-Amp circuit breaker- 120V 60Hz- Noise filtering 40-45dB- Joule rating 1300- UL 1449 Rating/Clamping Level 330- 6 ft. chord- Illuminated on/off switch- LED surge indicator- Up to 8 outletsThe warranty paper claims 'lifetime' for the item itself and up to $50,000  on connected equipment for 5 years.The lifetime in 'lifetime warranty' promise is not the purchaser's life but the life of the product itself. To quote from the Fellowes warranty document, ""the lifetime of the product is considered to be the time until the product naturally ceases to provide surge protection"". In other words, there is a warranty on the product for as long as it works. To quote again, ""when the LED fails to light, the product has performed its duty"" and the lifetime warranty is no longer in effect.As for the $50,000 connected equipment warranty, the paper enumerates 10 instances under which the warranty becomes null and void including ""4. Fellowes determines that the equipment was not damaged by an Event or that no Event took place. 5. Fellowes determines that the Surge Protector was not properly installed, was tampered with, or was altered in any way.""To conclude, this is good value for the price but forget about the warranties. I am taking one star away for the warranty claims.","[38, 41]","Good for the price, practically no warranties",2009,06, 5,0.926829268292683,1626,273,Positive,38,41,3,0.0235466536394724,20090605
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1255305600,5.0,B00009V2W9,"10 12, 2009","What you get is a 100 ft. roll of high quality, honest to goodness true shiny-red copper, 16 Gauge thick wire and I just can't see why anyone would settle for anything less.I ordered this roll 'by mistake', not knowing that my Onkyo 7.1 speakers set actually came with its own color-coded wires and I was about to return it. I then decided to actually do a comparison test. The color-coded, thin, aluminum-like wimpy wires that Onkyo was providing 'for free' vs. the Acoustic Research, thick, near-pure copper. Needless to say, and I would not call call myself an audiophile, I immediately knew that this wire was a keeper. The sound coming out when using the AR's AP-16100W was clearly crisper, fuller and I did not go back to the color-coded Onkyo-supplied alternative.Here's what you get:- 100 ft. long, 16 Gauge- Superior quality copper- Off-white thick wire- The '+' wire is clearly but discretely marked- Limited lifetime warranty (I don't really know what that means)- Made in China (why AR, oh why?)I recommend this good quality, high performance speaker wire without hesitation.","[0, 0]",Simply Awesome,2009,10, 12,,1087,182,Positive,0,0,0,0.022406774141019378,20091012
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1245628800,5.0,B0000VP1WQ,"06 22, 2009","The Hitachi 4GB Microdrive (CF Type II card interface) came bundled with my Sony A-100 (Alpha) camera. I never-ever had a problem with it. I can't say that it had to operate under a lot of stress - the highest it's been is about 12,000 ft. in Colorado - but whatever it had to do it did well. Here is my evaluation:Pros:- trouble-free operation - once it was formatted, no additional maintenance was ever required- pretty good storage capacity - over 1000 pictures on a 10M camera storing 'fine' quality JPEGs- better than a flash card at handling repeated write/erase cycles as its capacity to store data does not degradeCons:- a little bit slow - but it did manage 3-shot bursts pretty well, takes a while to 'zoom' into a picture already taken- draws more power than a CF Type I flash card that a typical D-SLR camera would accept- less expensive alternatives are currently availableI am awarding it 4 stars and not 5 because anyone looking for a D-SLR card today must be aware that better alternatives are available. My camera just received a 16GB CF card that, on a dollar-per-gigabyte comparison, comes at half the price. However, if anyone is looking for a very small hard disk-like extension, the Microdrive is the way to go.","[0, 0]",Excellent D-SLR storage (2009 review),2009,06, 22,,1233,217,Positive,0,0,0,0.022406774141019378,20090622
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1246924800,1.0,B0001IXUDK,"07 7, 2009","FUD - Fear, uncertainty, doubt.According to Wikipedia, ""the term originated to describe disinformation tactics in the computer hardware industry and has since been used more broadly. FUD is a manifestation of the appeal to fear.""Still Wikipedia, quoting Eric S. Raymond: ""The idea, of course, was to persuade buyers to go with safe [...] gear rather than with competitors' equipment. This implicit coercion was traditionally accomplished by promising that Good Things would happen to people who stuck with [...], but Dark Shadows loomed over the future of competitors' equipment [...]"".HDMI is all-digital for both sound and picture. As such, it either works or it doesn't and, when it doesn't work, you will know immediately. There's really nothing in-between. If a claim is made that the Monster is 'more reliable' or that it 'lasts longer', I can't see how such claim can be backed - does the hundred-dollar cable last 20 times longer than than the five-dollar cable? And, if it does, do we REALLY care that a cable supporting a standard that may be obsolete in 5 years COULD last for 100 years?By the way, I do not challenge the claim of high quality for this cable. It appears to be well built. However, it is quality not needed and, in my view, not worth paying for. The way most of us use cables is: we plug them at the back of our electronic boxes and, if they work on 'day one' they are likely to work in the exact same fashion on day 1000 because they are not going to be subjected to any physical or thermal stress and the materials used to build them are not easily degradable. While 'quality' was important for analog cables where good quality made all the difference in the world, the digital wires either transmit the digits or they don't. If they do, they all work the same, the $1 HDMI cable gives you the exact same 'performance' the $100, gold-plated cable does.The claims that seem to suggest that these expensive wires allow more Gigabytes of data to pass through and the implied suggestion that you would get a less bright image or a less crisp sound if you used a two-dollar cable are NOT true. The HDMI is a published standard and there is a minimum data throughput that must be supported. If it is, then the device is HDMI compliant and you will get everything that HDMI promises to deliver. If some cable exceeds the specified throughput, it's nice but it's irrelevant because no electronic component that's HDMI compliant would attempt to push more bytes through the wire than the standard specifies. If they did, they'd violate the specs and would not sell very well. If your electronic component had an HDMI port that called for an HDMI cable that exceeded the HDMI published standards, then it would no longer be called an HDMI port but a proprietary, non-standard solution.The following are the HDMI 1.3 specs and ALL certified HDMI 1.3 cables (including the five-dollar wires and the Monster) are going to support them. Whatever 'extra' the M Series offers is useless because no HDMI-connected hardware component is going to ask for more.Maximum signal bandwidth (MHz) 340Maximum TMDS bandwidth (Gbit/s) 10.2Maximum video bandwidth (Gbit/s) 8.16Maximum audio bandwidth (Mbit/s) 36.86Maximum Color Depth (bit/px) 48Maximum resolution over single link at 24-bit/px  25601600p75Maximum resolution over single link at 30-bit/px  25601600p60Maximum resolution over single link at 36-bit/px  1920x1200p75Maximum resolution over single link at 48-bit/px  19201200p60sRGBYCbCr8 channel LPCM/192 kHz/24-bit audio capabilityBlu-ray Disc video and audio at full resolutionConsumer Electronic Control (CEC)DVD-Audio supportSuper Audio CD (DSD) supportDeep ColorxvYCCAuto lip-syncDolby TrueHD bitstream capableDTS-HD Master Audio bitstream capableUpdated list of CEC commands (only on HDMI 1.3a,b,c)My suggestion: search Amazon for ""hdmi cable 1.3"" and make an informed price/quality decision before you buy._____________________________________NOTE 1: I noticed a typical FUD statement that has been posted on this page in the form of a video. The presenter suggests that all signals, including 'digital' get degraded when passing through a wire because of the 'laws of physics'. The key word in his presentation is that 'IF YOU HAVE A REALLY LONG CABLE' then you may get into trouble. This is true. You can't have a 100 ft. HDMI cable or a one mile-long cable. Eventually, unless your signal, digital or analog, is boosted in some way, it's going to die and you won't be able to decode it at the other end.However, this is NOT the point. This HDMI cable is NOT 'really long'. In fact, it is REALLY SHORT and, no matter how much FUD is inserted into the discussion, on 6 ft. or 8 ft. cables, you are NOT going to get a 'better' picture just because you pay 100 times more for a wire.Unless the vendor comes up with some unbiased tests showing that, on 6 ft. or on 8 ft. cables the less expensive brands loses 'bits' to the degree that the receiving device can't correct for the loss while the expensive brand does not, this is nothing but FUD.NOTE 2: All of the above applies to the 2-meter cable. When ordering the 4-meter and especially the 6-meter lengths, I would make sure that the cable is certified as ""HDMI Category 2"" or ""High-Speed"" FOR THAT SPECIFIC LENGTH.","[0, 0]",FUD - a perfect example (applies to the 2-meter cable),2009,07, 7,,5288,878,Negative,0,0,0,0.022406774141019378,20090707
ADLVFFE4VBT8,"A. Dent ""Aragorn""",20070310,431,4.296983758700696,472.1763341067285,19964,1128,18836,"A. Dent ""Aragorn""",1229990400,5.0,B0001LTT64,"12 23, 2008","Like the reviewer before me, I've been using this mouse for about 2 years and I have no complaints whatsoever. I thought I would write something just to help reinforce the idea that, if you are looking for an inexpensive, reliable, no-frills mouse, then this is a good candidate.For me, the ideal mouse has 2 buttons, needs no maintenance and it's responsive to my hand's moves. This one has 2 buttons and a scroll wheel (which I never use), needs very little cleaning (I believe I cleaned it twice in 2 years) and is responsive to my hand's moves.This is all I need in a mouse and that's what I'm getting out of this one.","[0, 0]",Durable - still good after 2 years of constant use,2008,12, 23,,622,115,Positive,0,0,0,0.022406774141019378,20081223
